grid_y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63
13,327.914109,327.928129,327.961977,328.012598,328.079781,328.163118,328.261841,328.375070,328.501807,328.639708,328.780907,328.917536,329.047131,329.164656,329.267914,329.356749,329.431444,329.493384,329.545461,329.586266,329.614600,329.629538,329.631470,329.621019,329.600599,329.571373,329.532180,329.482929,329.421711,329.346056,329.255392,329.148046,329.022993,328.880418,328.722889,328.556660,328.390859,328.230985,328.078637,327.933246,327.792366,327.654229,327.518863,327.385993,327.256547,327.131132,327.008976,326.887721,326.766466,326.645650,326.525616,326.408249,326.299209,326.200864,326.112737,326.034021,325.963385,325.900763,325.846966,325.801585,325.764377,325.735499,325.714954,325.706135
14,327.918650,327.932885,327.967217,328.018474,328.086331,328.170289,328.269423,328.382081,328.506543,328.640272,328.778854,328.917373,329.051453,329.173801,329.280939,329.371821,329.447652,329.510284,329.560526,329.597836,329.622204,329.633051,329.631214,329.616963,329.592474,329.560790,329.522752,329.476790,329.418675,329.346239,329.259006,329.155446,329.034365,328.896707,328.744398,328.580770,328.414193,328.252875,328.099039,327.951817,327.809038,327.670452,327.535923,327.404717,327.277221,327.153306,327.032402,326.912954,326.794161,326.676583,326.560147,326.445826,326.338619,326.241454,326.154064,326.075813,326.005476,325.942228,325.887880,325.842501,325.805589,325.776737,325.756090,325.747132
15,327.921894,327.936439,327.971495,328.023764,328.092817,328.177989,328.278198,328.391570,328.515643,328.647856,328.785167,328.923433,329.057312,329.180257,329.288059,329.379108,329.454861,329.517233,329.565957,329.600805,329.622361,329.630741,329.626915,329.610086,329.581311,329.544861,329.506232,329.462941,329.407765,329.338779,329.254510,329.154236,329.037166,328.904470,328.757680,328.598310,328.432883,328.270480,328.114446,327.964626,327.820474,327.682183,327.548865,327.419350,327.293440,327.170890,327.051386,326.934150,326.818164,326.703904,326.591278,326.480879,326.376632,326.281432,326.195577,326.118393,326.048747,325.985272,325.930425,325.885008,325.848285,325.818973,325.798172,325.789169
16,327.923475,327.938449,327.974529,328.028294,328.099255,328.186638,328.289219,328.404923,328.530490,328.663064,328.799905,328.935453,329.064603,329.183463,329.288840,329.378418,329.452878,329.513617,329.560792,329.593921,329.613449,329.620377,329.615239,329.596748,329.565339,329.525222,329.485258,329.443095,329.389074,329.321923,329.240146,329.143169,329.030679,328.903142,328.762136,328.608606,328.446520,328.283446,328.124748,327.972588,327.827827,327.689871,327.557519,327.429470,327.305250,327.184476,327.066777,326.951832,326.839037,326.728508,326.619846,326.513630,326.412838,326.320057,326.236156,326.160748,326.092628,326.029816,325.974626,325.928865,325.892117,325.862372,325.841209,325.832132
17,327.922876,327.938410,327.975845,328.031640,328.105307,328.196063,328.302573,328.422442,328.551011,328.683264,328.816989,328.947202,329.070176,329.181898,329.281929,329.368215,329.440508,329.499167,329.544717,329.576738,329.595322,329.600963,329.594043,329.574518,329.542932,329.503235,329.463019,329.418978,329.364035,329.297237,329.217010,329.122263,329.012938,328.890266,328.755309,328.608440,328.451779,328.289683,328.128714,327.974869,327.829730,327.691929,327.560426,327.433821,327.311699,327.193278,327.077892,326.965608,326.856087,326.749334,326.645082,326.543903,326.447479,326.357909,326.276312,326.202764,326.136318,326.075190,326.020344,325.974053,325.936868,325.906956,325.885420,325.876206
18,327.919410,327.935632,327.974739,328.033071,328.110182,328.205385,328.317300,328.442475,328.573391,328.702454,328.829040,328.951179,329.066063,329.170102,329.264897,329.348062,329.417568,329.473864,329.517890,329.548922,329.566844,329.571366,329.563318,329.543435,329.513053,329.475688,329.435624,329.388616,329.331528,329.263134,329.183175,329.090018,328.983038,328.864694,328.734998,328.593982,328.442112,328.282307,328.121531,327.968167,327.823399,327.686325,327.556395,327.432165,327.312522,327.196761,327.084235,326.975186,326.869057,326.766089,326.666351,326.570520,326.479327,326.393939,326.315291,326.243836,326.179157,326.120385,326.066924,326.020200,325.981746,325.951731,325.930394,325.921243
19,327.912225,327.929241,327.970273,328.031514,328.112548,328.212780,328.330131,328.457594,328.586204,328.710348,328.829622,328.943704,329.049873,329.147076,329.237167,329.316995,329.383323,329.436931,329.479782,329.509974,329.526640,329.529388,329.519927,329.499792,329.471460,329.436422,329.396003,329.347095,329.288372,329.218257,329.137328,329.045132,328.940552,328.825325,328.699283,328.562736,328.415598,328.260164,328.101853,327.950682,327.807796,327.673063,327.545776,327.424487,327.307594,327.194734,327.085617,326.980235,326.877704,326.778458,326.682811,326.591441,326.504791,326.423508,326.348625,326.280701,326.218996,326.162967,326.111862,326.066261,326.027536,325.997585,325.976461,325.967367
20,327.900312,327.918177,327.961241,328.025573,328.110717,328.215819,328.336821,328.462854,328.586360,328.704828,328.817593,328.924583,329.023491,329.115350,329.200397,329.275488,329.338000,329.388966,329.430050,329.458750,329.473801,329.475120,329.464261,329.443480,329.416509,329.383103,329.342516,329.293270,329.233443,329.162387,329.079970,328.987275,328.883466,328.769253,328.645221,328.512323,328.370512,328.221171,328.068474,327.921967,327.783188,327.652352,327.528394,327.410151,327.296777,327.187485,327.081976,326.980282,326.881464,326.785849,326.693764,326.606046,326.523202,326.445911,326.374977,326.310684,326.252269,326.199294,326.151568,326.109066,326.072689,326.044035,326.023251,326.014233
21,327.882522,327.901189,327.946240,328.013821,328.103377,328.212308,328.332841,328.454938,328.573216,328.686383,328.793761,328.894362,328.986907,329.073609,329.153037,329.222231,329.280276,329.328655,329.367662,329.394712,329.408447,329.409223,329.397986,329.377006,329.350085,329.317256,329.277150,329.228032,329.167565,329.095869,329.011863,328.916966,328.811206,328.695891,328.572894,328.443539,328.307419,328.165280,328.021296,327.882273,327.749903,327.624030,327.504152,327.389819,327.280317,327.174907,327.073495,326.975541,326.880267,326.788168,326.699626,326.615196,326.535614,326.461925,326.394413,326.333290,326.278030,326.228462,326.184639,326.146112,326.113370,326.087388,326.068251,326.059777
22,327.857668,327.877013,327.923958,327.994886,328.089257,328.201096,328.318350,328.434589,328.547103,328.655525,328.757863,328.852680,328.939424,329.020204,329.093158,329.155799,329.209849,329.255610,329.292168,329.317483,329.330221,329.330558,329.319676,329.299048,329.271962,329.239158,329.199461,329.150766,329.090204,329.017460,328.931240,328.832657,328.723047,328.606212,328.484522,328.359367,328.229981,328.097389,327.964372,327.834347,327.709322,327.589183,327.474269,327.364317,327.258754,327.157432,327.060037,326.965851,326.874238,326.785510,326.700302,326.618866,326.542334,326.471810,326.407247,326.349157,326.296970,326.250884,326.210915,326.176428,326.147264,326.123781,326.106398,326.098463
23,327.825006,327.844762,327.892964,327.966398,328.063984,328.175784,328.289194,328.400115,328.506720,328.609868,328.707107,328.796444,328.877782,328.952456,329.019327,329.076533,329.126581,329.169361,329.203162,329.226309,329.237886,329.237983,329.227869,329.207903,329.181237,329.148456,329.108860,329.059590,328.998245,328.924582,328.836809,328.734921,328.621468,328.505518,328.388142,328.268734,328.147230,328.024593,327.901912,327.781049,327.663139,327.548881,327.439364,327.333995,327.232501,327.135239,327.041652,326.951276,326.863312,326.777999,326.696077,326.617702,326.543695,326.475467,326.413375,326.358456,326.309618,326.266857,326.230409,326.199448,326.173211,326.151890,326.136194,326.128846
24,327.783960,327.803671,327.851817,327.925278,328.022607,328.132373,328.241987,328.348521,328.450001,328.547211,328.639309,328.723788,328.800398,328.869855,328.931044,328.983980,329.030002,329.069342,329.100504,329.121592,329.131593,329.131632,329.121890,329.102585,329.076975,329.044220,329.004419,328.954503,328.892632,328.818440,328.730528,328.628237,328.515377,328.402635,328.290450,328.177307,328.063543,327.949531,327.835615,327.723197,327.612280,327.504169,327.399937,327.299158,327.201956,327.108711,327.018723,326.931631,326.847088,326.765357,326.686292,326.610272,326.538346,326.472188,326.412235,326.360474,326.315349,326.276347,326.243182,326.215069,326.191257,326.172115,326.158059,326.151300
25,327.734492,327.753645,327.800300,327.871066,327.964734,328.071857,328.178047,328.280029,328.376497,328.468366,328.556207,328.636523,328.708406,328.772353,328.828093,328.877818,328.920671,328.956610,328.984851,329.003788,329.012030,329.011264,329.001328,328.982638,328.958170,328.926211,328.886188,328.835825,328.774259,328.700610,328.613829,328.513635,328.405908,328.298675,328.192400,328.085971,327.979706,327.873218,327.767030,327.662156,327.557990,327.456043,327.356957,327.260517,327.167315,327.077535,326.991041,326.907264,326.826074,326.747648,326.671351,326.597664,326.527484,326.462784,326.405031,326.356376,326.314903,326.279706,326.249722,326.224106,326.202398,326.185104,326.172253,326.165991
26,327.677230,327.695413,327.739597,327.806247,327.894457,327.997190,328.098860,328.194839,328.286028,328.374844,328.459746,328.535842,328.603105,328.661808,328.712613,328.758876,328.799098,328.831992,328.857042,328.873451,328.879881,328.878037,328.867614,328.848938,328.825021,328.794278,328.754243,328.703822,328.643383,328.571452,328.487438,328.392306,328.292770,328.193210,328.093920,327.994640,327.895463,327.795627,327.696384,327.598348,327.500486,327.404572,327.310541,327.218360,327.129053,327.042405,326.959327,326.878830,326.800678,326.725059,326.651417,326.579958,326.510645,326.446500,326.391520,326.347182,326.309847,326.277840,326.250503,326.227050,326.207287,326.191638,326.179674,326.173752
27,327.613259,327.630188,327.671348,327.733425,327.815651,327.911816,328.007161,328.096689,328.183354,328.269261,328.350474,328.422351,328.484899,328.537947,328.583946,328.626611,328.664334,328.694697,328.717285,328.731731,328.737114,328.734373,328.722978,328.703304,328.679008,328.649191,328.609837,328.560388,328.501938,328.433320,328.354443,328.267486,328.177533,328.086348,327.994528,327.902162,327.809559,327.716339,327.623925,327.532223,327.440380,327.349947,327.260678,327.173151,327.087786,327.004305,326.924266,326.846563,326.771254,326.698415,326.627365,326.558022,326.489850,326.426526,326.374200,326.333634,326.299911,326.271001,326.245959,326.224287,326.206220,326.192063,326.181012,326.175485
28,327.543919,327.559370,327.597113,327.653995,327.728844,327.816539,327.906135,327.991570,328.074328,328.155332,328.230966,328.298358,328.356370,328.404118,328.445632,328.484451,328.518769,328.546142,328.566685,328.579937,328.584759,328.581804,328.570713,328.551880,328.527612,328.497671,328.459276,328.411918,328.356412,328.292403,328.220336,328.142388,328.061569,327.978196,327.893529,327.807813,327.721781,327.635522,327.549463,327.463726,327.377649,327.292297,327.207826,327.124638,327.042696,326.962243,326.885119,326.810415,326.738169,326.667886,326.599368,326.532402,326.466384,326.404691,326.354598,326.316677,326.285630,326.259202,326.236281,326.216359,326.199716,326.186688,326.176505,326.171550
29,327.470396,327.484279,327.518614,327.570683,327.639103,327.719515,327.803507,327.884802,327.962749,328.037241,328.106024,328.167921,328.221312,328.265521,328.304204,328.339278,328.369824,328.394710,328.413440,328.425558,328.430366,328.428155,328.418443,328.401504,328.378193,328.348557,328.311526,328.266983,328.214988,328.155846,328.090570,328.020125,327.946773,327.870208,327.791991,327.712726,327.633091,327.553372,327.472908,327.392821,327.312197,327.231462,327.151434,327.072271,326.993923,326.916947,326.842725,326.771011,326.701544,326.633666,326.567826,326.503318,326.439995,326.380827,326.333079,326.297265,326.267955,326.243184,326.221866,326.203639,326.188716,326.176803,326.167310,326.162645
