workload,signal_path,region,width,toggle_count,value_change_count,time_steps,last_time_ps,normalized_activity
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_prci_ctrl.buffer.monitor.inflight_opcodes[515:0],tl_soc_glue,516,248,1,2084,1000000,0.00023062387477867547
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.buffer_1.monitor.inflight_sizes_1[515:0],tl_soc_glue,516,248,1,2084,1000000,0.00023062387477867547
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_plic.fragmenter.monitor.inflight_opcodes[515:0],tl_soc_glue,516,244,1,2084,1000000,0.00022690413486289038
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.atomics.monitor.inflight_sizes_1[515:0],tl_soc_glue,516,243,1,2084,1000000,0.0002259741998839441
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.wrapped_error_device.error.monitor.inflight_opcodes[515:0],pe_array,516,237,1,2084,1000000,0.00022039459001026648
thermal_smoke,TestDriver.testHarness.chiptop0.system.fbus.coupler_from_port_named_serial_tl_0_in.buffer.monitor.watchdog[31:0],tl_soc_glue,32,236,109,2084,1000000,0.0035388675623800386
thermal_smoke,TestDriver.testHarness.chiptop0.system.coh_wrapper.l2.ctrls.monitor.watchdog[31:0],pe_array,32,234,109,2084,1000000,0.003508877159309021
thermal_smoke,TestDriver.testHarness.chiptop0.system.fbus.buffer.monitor.watchdog[31:0],tl_soc_glue,32,234,109,2084,1000000,0.003508877159309021
thermal_smoke,TestDriver.testHarness.chiptop0.system.coh_wrapper.cork.monitor.watchdog[31:0],pe_array,32,233,109,2084,1000000,0.0034938819577735123
thermal_smoke,TestDriver.testHarness.chiptop0.system.coh_wrapper.l2.monitor.watchdog_1[31:0],pe_array,32,233,109,2084,1000000,0.0034938819577735123
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.coupler_to_device_named_uart_0.fragmenter.monitor.inflight_opcodes[515:0],tl_soc_glue,516,233,1,2084,1000000,0.0002166748500944814
thermal_smoke,TestDriver.testHarness.chiptop0.system.sbus.system_bus_xbar.monitor.watchdog_1[31:0],tl_soc_glue,32,233,109,2084,1000000,0.0034938819577735123
thermal_smoke,TestDriver.testHarness.chiptop0.system.bank.ram.monitor.watchdog[31:0],non_gemmini_context,32,232,109,2084,1000000,0.0034788867562380037
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_l2_ctrl.fragmenter.monitor.inflight_opcodes[515:0],tl_soc_glue,516,232,1,2084,1000000,0.00021574491511553513
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_plic.fragmenter.monitor.watchdog_1[31:0],tl_soc_glue,32,232,109,2084,1000000,0.0034788867562380037
thermal_smoke,TestDriver.testHarness.chiptop0.system.coh_wrapper.l2.ctrls.monitor.watchdog_1[31:0],pe_array,32,232,109,2084,1000000,0.0034788867562380037
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.coupler_to_bootaddressreg.fragmenter.monitor.watchdog_1[31:0],tl_soc_glue,32,232,109,2084,1000000,0.0034788867562380037
